"ID","name","ip","score","level","data","ts"
115,Timo,"178.197.205.254",9,"","{""tricks"":{""tricks"":[{""parsed"":""AO Mizou"",""orig"":""Forwards | Inspin 180 | Mizou"",""points"":""2""},{""parsed"":""AO Makio to 180 out"",""orig"":""Forwards | Inspin 180 | Makio | Inspin 180"",""points"":""3""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""},{""parsed"":""BS Unity to Fakie out"",""orig"":""Forwards | BS Unity | Fakie"",""points"":""2""}],""skipped"":[{""parsed"":""AO Mizou"",""orig"":""Forwards | Inspin 180 | Mizou"",""points"":""2""},{""parsed"":""AO Makio to 180 out"",""orig"":""Forwards | Inspin 180 | Makio | Inspin 180"",""points"":""3""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""},{""parsed"":""BS Unity to Fakie out"",""orig"":""Forwards | BS Unity | Fakie"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2021-12-03 15:47:20"
125,Greg,"178.197.205.254",11,"","{""tricks"":{""tricks"":[{""parsed"":""AO PStar to 180 out"",""orig"":""Forwards | Inspin 180 | None PStar | Inspin 180"",""points"":""4""},{""parsed"":""AO Mistrial to 180 rewind out"",""orig"":""Forwards | Inspin 180 | None Mistrial | Outspin 180 "",""points"":""4""},{""parsed"":""Hot Dog to 180 out"",""orig"":""Forwards | None Hot Dog | Outspin 180 "",""points"":""3""}],""skipped"":[{""parsed"":""AO PStar to 180 out"",""orig"":""Forwards | Inspin 180 | None PStar | Inspin 180"",""points"":""4""},{""parsed"":""AO Mistrial to 180 rewind out"",""orig"":""Forwards | Inspin 180 | None Mistrial | Outspin 180 "",""points"":""4""},{""parsed"":""Hot Dog to 180 out"",""orig"":""Forwards | None Hot Dog | Outspin 180 "",""points"":""3""}]},""config"":{""level"":""2"",""spins"":""5""}}","2021-12-03 15:48:14"
135,Greg,"178.197.205.254",17,"","{""tricks"":{""tricks"":[{""parsed"":""True Top Soul"",""orig"":""Forwards | Outspin 180 | Topside Soul"",""points"":""3""},{""parsed"":""Top Torque Soul to 180 out"",""orig"":""Forwards | Topside Torque Soul | Outspin 180 "",""points"":""4""},{""parsed"":""Kindgrind to 180 rewind out"",""orig"":""Forwards | Inspin 180 | Topside Mizou | Outspin 180 "",""points"":""4""},{""parsed"":""Negative Mistrial to 360 out"",""orig"":""Forwards | Negative Mistrial | Inspin 360"",""points"":""6""}],""skipped"":[{""parsed"":""True Top Soul"",""orig"":""Forwards | Outspin 180 | Topside Soul"",""points"":""3""},{""parsed"":""Top Torque Soul to 180 out"",""orig"":""Forwards | Topside Torque Soul | Outspin 180 "",""points"":""4""},{""parsed"":""Kindgrind to 180 rewind out"",""orig"":""Forwards | Inspin 180 | Topside Mizou | Outspin 180 "",""points"":""4""},{""parsed"":""Negative Mistrial to 360 out"",""orig"":""Forwards | Negative Mistrial | Inspin 360"",""points"":""6""}]},""config"":{""level"":""2"",""spins"":""5""}}","2021-12-03 15:49:09"
145,Roman,"178.197.205.254",5,"","{""tricks"":{""tricks"":[{""parsed"":""Mistrial to 180 out"",""orig"":""Forwards | Mistrial | Outspin 180 "",""points"":""3""},{""parsed"":""BS Torque to Fakie out"",""orig"":""Forwards | BS Torque | Fakie"",""points"":""2""}],""skipped"":[{""parsed"":""Mistrial to 180 out"",""orig"":""Forwards | Mistrial | Outspin 180 "",""points"":""3""},{""parsed"":""BS Torque to Fakie out"",""orig"":""Forwards | BS Torque | Fakie"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2021-12-03 15:50:03"
155,Legwan,"5.173.42.147",8,"","{""tricks"":{""tricks"":[{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Outspin 180 "",""points"":""2""},{""parsed"":""FS Unity"",""orig"":""Forwards | FS Unity | Forwards"",""points"":""2""},{""parsed"":""Frontside"",""orig"":""Forwards | Frontside | Forwards"",""points"":""1""},{""parsed"":""BS Royale"",""orig"":""Forwards | BS Royale | Forwards"",""points"":""2""},{""parsed"":""Acid"",""orig"":""Forwards | Acid"",""points"":""1""}],""skipped"":[{""parsed"":""Mizou to 180 out"",""orig"":""Forwards | Mizou | Outspin 180 "",""points"":""2""},{""parsed"":""FS Unity"",""orig"":""Forwards | FS Unity | Forwards"",""points"":""2""},{""parsed"":""Frontside"",""orig"":""Forwards | Frontside | Forwards"",""points"":""1""},{""parsed"":""BS Royale"",""orig"":""Forwards | BS Royale | Forwards"",""points"":""2""},{""parsed"":""Acid"",""orig"":""Forwards | Acid"",""points"":""1""}]},""config"":{""level"":""1"",""spins"":""5""}}","2021-12-07 13:11:53"
165,Gavin,"75.16.193.31",8,"","{""tricks"":{""tricks"":[{""parsed"":""Soul to 180 out"",""orig"":""Forwards | Soul | Inspin 180"",""points"":""2""},{""parsed"":""Frontside to Fakie out"",""orig"":""Forwards | Frontside | Fakie"",""points"":""1""},{""parsed"":""Mizou"",""orig"":""Forwards | Mizou"",""points"":""1""},{""parsed"":""BS Tabernacle"",""orig"":""Forwards | BS Tabernacle"",""points"":""2""},{""parsed"":""FS Tabernacle"",""orig"":""Forwards | FS Tabernacle"",""points"":""2""}],""skipped"":[{""parsed"":""Soul to 180 out"",""orig"":""Forwards | Soul | Inspin 180"",""points"":""2""},{""parsed"":""Frontside to Fakie out"",""orig"":""Forwards | Frontside | Fakie"",""points"":""1""},{""parsed"":""Mizou"",""orig"":""Forwards | Mizou"",""points"":""1""},{""parsed"":""BS Tabernacle"",""orig"":""Forwards | BS Tabernacle"",""points"":""2""},{""parsed"":""FS Tabernacle"",""orig"":""Forwards | FS Tabernacle"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2021-12-12 03:25:25"
175,Gavin,"75.16.193.31",4,"","{""tricks"":{""tricks"":[{""parsed"":""Sweatstance"",""orig"":""Forwards | Topside Mizou"",""points"":""2""},{""parsed"":""Torque Soul"",""orig"":""Forwards | None Torque Soul"",""points"":""2""}],""skipped"":[{""parsed"":""Sweatstance"",""orig"":""Forwards | Topside Mizou"",""points"":""2""},{""parsed"":""Torque Soul"",""orig"":""Forwards | None Torque Soul"",""points"":""2""}]},""config"":{""level"":""2"",""spins"":""5""}}","2021-12-12 03:33:16"
185,Matt,"90.199.107.63",12,"","{""tricks"":{""tricks"":[{""parsed"":""FS Torque to Fakie out"",""orig"":""Forwards | FS Torque | Fakie"",""points"":""2""},{""parsed"":""True PStar to 180 rewind out"",""orig"":""Forwards | Outspin 180 | PStar | Inspin 180"",""points"":""4""},{""parsed"":""FS Backslide"",""orig"":""Forwards | FS Backslide | Forwards"",""points"":""2""},{""parsed"":""AO Soul"",""orig"":""Forwards | Inspin 180 | Soul"",""points"":""2""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""}],""skipped"":[{""parsed"":""FS Torque to Fakie out"",""orig"":""Forwards | FS Torque | Fakie"",""points"":""2""},{""parsed"":""True PStar to 180 rewind out"",""orig"":""Forwards | Outspin 180 | PStar | Inspin 180"",""points"":""4""},{""parsed"":""FS Backslide"",""orig"":""Forwards | FS Backslide | Forwards"",""points"":""2""},{""parsed"":""AO Soul"",""orig"":""Forwards | Inspin 180 | Soul"",""points"":""2""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-08 04:18:50"
195,Matt,"90.199.107.63",37,"","{""tricks"":{""tricks"":[{""parsed"":""Fakie 270 BS Royale to Fakie out"",""orig"":""Fakie | Inspin 270 | None BS Royale | Fakie"",""points"":""5""},{""parsed"":""Switch 720 Hurricane Soul to 720 rewind out"",""orig"":""Switch | Outspin 720 | None Soul | Inspin 720"",""points"":""10""},{""parsed"":""Rough Misfit"",""orig"":""Forwards | Inspin 180 | Rough Topside Mistrial"",""points"":""5""},{""parsed"":""720 Hurricane BS Tabernacle to 540 out"",""orig"":""Forwards | Outspin 720 | None BS Tabernacle | Outspin 540"",""points"":""9""},{""parsed"":""Halfcab Tough Sunny Day to 360 out"",""orig"":""Fakie | Inspin 180 | Tough Topside PStar | Inspin 360"",""points"":""8""}],""skipped"":[{""parsed"":""Fakie 270 BS Royale to Fakie out"",""orig"":""Fakie | Inspin 270 | None BS Royale | Fakie"",""points"":""5""},{""parsed"":""Switch 720 Hurricane Soul to 720 rewind out"",""orig"":""Switch | Outspin 720 | None Soul | Inspin 720"",""points"":""10""},{""parsed"":""Rough Misfit"",""orig"":""Forwards | Inspin 180 | Rough Topside Mistrial"",""points"":""5""},{""parsed"":""720 Hurricane BS Tabernacle to 540 out"",""orig"":""Forwards | Outspin 720 | None BS Tabernacle | Outspin 540"",""points"":""9""},{""parsed"":""Halfcab Tough Sunny Day to 360 out"",""orig"":""Fakie | Inspin 180 | Tough Topside PStar | Inspin 360"",""points"":""8""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-08 04:20:53"
205,Matt,"90.199.107.63",35,"","{""tricks"":{""tricks"":[{""parsed"":""Switch Halfcab Top Soul"",""orig"":""Fakie & Switch | Inspin 180 | Topside Soul"",""points"":""6""},{""parsed"":""Switch Frontside to 630 out"",""orig"":""Switch | None Frontside | 630"",""points"":""6""},{""parsed"":""Switch 630 FS Unity to 270 out"",""orig"":""Switch | Outspin 630 | None FS Unity | 270"",""points"":""9""},{""parsed"":""True Fullcab 540 Sunny Day"",""orig"":""Fakie | Outspin 540 | Topside PStar"",""points"":""7""},{""parsed"":""Fakie 540 Tough Acid"",""orig"":""Fakie | Inspin 540 | Tough Acid"",""points"":""7""}],""skipped"":[{""parsed"":""Switch Halfcab Top Soul"",""orig"":""Fakie & Switch | Inspin 180 | Topside Soul"",""points"":""6""},{""parsed"":""Switch Frontside to 630 out"",""orig"":""Switch | None Frontside | 630"",""points"":""6""},{""parsed"":""Switch 630 FS Unity to 270 out"",""orig"":""Switch | Outspin 630 | None FS Unity | 270"",""points"":""9""},{""parsed"":""True Fullcab 540 Sunny Day"",""orig"":""Fakie | Outspin 540 | Topside PStar"",""points"":""7""},{""parsed"":""Fakie 540 Tough Acid"",""orig"":""Fakie | Inspin 540 | Tough Acid"",""points"":""7""}]},""config"":{""level"":""3"",""spins"":""5""}}","2022-01-08 04:22:40"
215,Matt,"90.199.107.63",38,"","{""tricks"":{""tricks"":[{""parsed"":""True Halfcab Christ Fishbrain to 180 rewind out"",""orig"":""Fakie | Outspin 180 | Christ Topside Makio | Inspin 180"",""points"":""6""},{""parsed"":""Halfcab Rough Mizou to 540 out"",""orig"":""Fakie | Inspin 180 | Rough Mizou | Inspin 540"",""points"":""8""},{""parsed"":""Fakie 540 Top Soul to 360 out"",""orig"":""Fakie | Inspin 540 | Topside Soul | Inspin 360"",""points"":""8""},{""parsed"":""Fakie Switch 270 FS Royale to Fakie out"",""orig"":""Fakie & Switch | Outspin 270 | None FS Royale | Fakie"",""points"":""8""},{""parsed"":""Switch Stub Soul to 540 out"",""orig"":""Switch | Negative X-Grind | Inspin 540"",""points"":""8""}],""skipped"":[{""parsed"":""True Halfcab Christ Fishbrain to 180 rewind out"",""orig"":""Fakie | Outspin 180 | Christ Topside Makio | Inspin 180"",""points"":""6""},{""parsed"":""Halfcab Rough Mizou to 540 out"",""orig"":""Fakie | Inspin 180 | Rough Mizou | Inspin 540"",""points"":""8""},{""parsed"":""Fakie 540 Top Soul to 360 out"",""orig"":""Fakie | Inspin 540 | Topside Soul | Inspin 360"",""points"":""8""},{""parsed"":""Fakie Switch 270 FS Royale to Fakie out"",""orig"":""Fakie & Switch | Outspin 270 | None FS Royale | Fakie"",""points"":""8""},{""parsed"":""Switch Stub Soul to 540 out"",""orig"":""Switch | Negative X-Grind | Inspin 540"",""points"":""8""}]},""config"":{""level"":""4"",""spins"":""5""}}","2022-01-08 04:24:41"
225,Toga,"114.142.172.39",10,"","{""tricks"":{""tricks"":[{""parsed"":""AO Soul to 180 out"",""orig"":""Forwards | Inspin 180 | Soul | Inspin 180"",""points"":""3""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""},{""parsed"":""Frontside"",""orig"":""Forwards | Frontside | Forwards"",""points"":""1""},{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""},{""parsed"":""FS Fastslide"",""orig"":""Forwards | FS Fastslide | Forwards"",""points"":""3""}],""skipped"":[{""parsed"":""AO Soul to 180 out"",""orig"":""Forwards | Inspin 180 | Soul | Inspin 180"",""points"":""3""},{""parsed"":""Acid to 180 out"",""orig"":""Forwards | Acid | Inspin 180"",""points"":""2""},{""parsed"":""Frontside"",""orig"":""Forwards | Frontside | Forwards"",""points"":""1""},{""parsed"":""Makio"",""orig"":""Forwards | Makio"",""points"":""1""},{""parsed"":""FS Fastslide"",""orig"":""Forwards | FS Fastslide | Forwards"",""points"":""3""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-01-23 15:20:56"
235,Matt,"2.125.226.192",35,"","{""tricks"":{""tricks"":[{""parsed"":""True Fullcab 720 BS Byn Soul to 180 rewind out"",""orig"":""Fakie | Outspin 720 | None BS Byn Soul | Inspin 180"",""points"":""8""},{""parsed"":""True Rough Open Book to 720 out"",""orig"":""Forwards | Outspin 180 | Rough Open Book | Outspin 720"",""points"":""9""},{""parsed"":""Tough Top Torque Soul to 180 out"",""orig"":""Forwards | Tough Topside Torque Soul | Inspin 180"",""points"":""5""},{""parsed"":""630 BS Unity to Fakie out"",""orig"":""Forwards | Inspin 630 | None BS Unity | Fakie"",""points"":""6""},{""parsed"":""810 FS Royale"",""orig"":""Forwards | Inspin 810 | None FS Royale | Forwards"",""points"":""7""}],""skipped"":[{""parsed"":""True Fullcab 720 BS Byn Soul to 180 rewind out"",""orig"":""Fakie | Outspin 720 | None BS Byn Soul | Inspin 180"",""points"":""8""},{""parsed"":""True Rough Open Book to 720 out"",""orig"":""Forwards | Outspin 180 | Rough Open Book | Outspin 720"",""points"":""9""},{""parsed"":""Tough Top Torque Soul to 180 out"",""orig"":""Forwards | Tough Topside Torque Soul | Inspin 180"",""points"":""5""},{""parsed"":""630 BS Unity to Fakie out"",""orig"":""Forwards | Inspin 630 | None BS Unity | Fakie"",""points"":""6""},{""parsed"":""810 FS Royale"",""orig"":""Forwards | Inspin 810 | None FS Royale | Forwards"",""points"":""7""}]},""config"":{""level"":""4"",""spins"":""5""}}","2022-02-10 23:56:54"
245,Adri,"177.245.203.146",5,"","{""tricks"":{""tricks"":[{""parsed"":""AO Makio"",""orig"":""Forwards | Inspin 180 | Makio"",""points"":""2""},{""parsed"":""Backside to Fakie out"",""orig"":""Forwards | Backside | Fakie"",""points"":""1""},{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""}],""skipped"":[{""parsed"":""AO Makio"",""orig"":""Forwards | Inspin 180 | Makio"",""points"":""2""},{""parsed"":""Backside to Fakie out"",""orig"":""Forwards | Backside | Fakie"",""points"":""1""},{""parsed"":""BS Royale to Fakie out"",""orig"":""Forwards | BS Royale | Fakie"",""points"":""2""}]},""config"":{""level"":""1"",""spins"":""5""}}","2022-02-16 23:03:40"
